都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,,,2018.01.09計算結果に基づく修正
北海道,"虻田町,",道路計画,"撮影,写測図化","8000,,1000","9.5KM2,1.6KM2",室蘭開発建設部助言630823A0464,(株)八州,"63.08.18,63.11.15",,,
北海道,"深川市,秩父別町,",道路計画高規格道路深川・留萌線,"撮影,写測図化","8000,,2500","27.2KM2,5.5KM2",札幌開発建設部助言631003A0545,(株)八州,"63.10.01,63.11.30",,,
北海道,"厚田村,浜益村,",道路計画,"撮影,写測図化","4000,,1000","19.4KM2,1.9KM2",札幌開発建設部助言630426A0068,(株)パスコ,"63.04.27,63.12.12",,,
北海道,"札幌市,",道路計画,"撮影,写測図化","8000,,1000","5.4KM2,1.1KM2",札幌開発建設部助言630426A0069,(株)パスコ,"63.04.27,63.07.30",,,
北海道,"深川市,",道路計画,"撮影,写測図化","12500,,2500","13.2KM2,5.0KM2",札幌開発建設部助言630426A0073,(株)パスコ,"63.04.28,63.07.30",,,
北海道,"増毛町,小平町,苫前町,遠別町,",道路計画,"撮影,写測図化,写測図化","8000,,1000,,2500","20.3KM2,3.7KM2,6.8KM2",留萌開発建設部助言630601A0199,"(株)パスコ,(株)八州","63.06.11,63.08.20",,,
北海道,"稚内市,",道路計画,"撮影,写測図化","12500,,2500","19.8KM2,3.7KM2",稚内開発建設部助言630615A0259,(株)パスコ,"63.05.27,63.07.20",,,
北海道,"留萌市,",都市計画,"撮影,写測図化,写測修正","12500,,2500,,2500","43.9KM2,8.1KM2,35.7KM2",北海道留萌市助言630615A0264,(株)パスコ,"63.05.25,63.10.31",,,
北海道,"白糠町,",道路計画,"撮影,写測図化,写測図化","8000,,1000,,2500","0.7KM2,0.7KM2,5.3KM2",釧路開発建設部助言630616A0270,(株)パスコ,"63.06.01,63.09.27",,,
北海道,"上川町,",道路計画,"撮影,写測図化","8000,,2500","24.5KM2,5.1KM2",旭川開発建設部助言630622A0313,(株)パスコ,"63.06.03,63.11.15",,,
北海道,"鹿部町,",道路計画(国道278号),"撮影,写測図化","12500,,2500","20.0KM2,6.6KM2",函館開発建設部助言630623A0322,(株)パスコ,"63.07.22,63.11.18",,,
北海道,"白滝村,",道路計画,"撮影,写測図化,写測図化","8000,,2500,,1000","36.9KM2,13.0KM2,6.0KM2",網走開発建設部助言630627A0327,(株)パスコ,"63.06.11,01.01.26",,,
北海道,"鷹栖町,",地域開発計画,"撮影,写測図化","25000,,5000","52.9KM2,14.9KM2",北海道鷹栖町助言630630A0353,(株)パスコ,"63.06.15,63.07.20",,,
北海道,"福島町,",道路計画(228号千軒・三岳),"撮影,写測図化","8000,,1000","10.8KM2,1.6KM2",函館開発建設部助言630706A0368,(株)パスコ,"63.07.20,63.11.16",,,
北海道,"札幌市,千歳市,恵庭市,広島町,",地形図修正(1★5000),"撮影,写測修正","25000,,5000","270.0KM2,98.5KM2",札幌防衛施設局助言630815A0449,(株)パスコ,"63.08.10,01.01.31",,,
北海道,"由仁町,栗山町,",道路計画(国道234号),"撮影,写測図化","8000,,1000","9.5KM2,2.1KM2",札幌開発建設部助言631031A0608,(株)パスコ,"63.11.07,01.02.20",,,
北海道,"端野町,女満別町,",畑総端野北部地区地形図作成,"撮影,写測図化","20000,,5000","81.0KM2,28.0KM2",北海道網走支庁助言630712A0373,アジア航測(株),"63.07.10,63.09.30",,,
北海道,"女満別町,東藻琴村,",土地改良(女満別),"撮影,写真図,写測図化,写測修正","20000,,5000,,5000,,5000","288.0KM2,145.5KM2,69.6KM2,75.9KM2",北海道網走支庁助言630714A0394,アジア航測(株),"63.07.10,63.12.05",,,
北海道,"端野町,",農業構造改善事業,"撮影,撮影,写測図化,写測修正","8000,,20000,,5000,,5000","210.0KM2,166.8KM2,25.0KM2,62.0KM2",北海道端野町助言630815A0442,アジア航測(株),"63.07.29,63.11.30",,,
北海道,"美瑛町,",森林施業のための正射写真図作成,"撮影,写真図","20000,,5000","704.0KM2,330.0KM2",美瑛町森林組合助言631014A0576,アジア航測(株),"63.10.01,63.12.28",,,
北海道,"美唄市,芦別市,",道路計画(一般道道白川美唄線),"撮影,写測図化","8000,,1000","23.1KM2,1.1KM2",札幌開発建設部助言630905A0494,中央コンサルタント(株),"63.09.10,63.12.20",,,
北海道,"広島町,",都市計画現況図修正,"撮影,写測修正","12500,,2500","187.0KM2,121.0KM2",北海道広島町助言630524A0157,シン航空写真(株),"63.05.14,63.10.11",,,
北海道,"士別市,",都市計画図修正測量,"撮影,写測修正","12500,,2500","46.0KM2,18.8KM2",北海道士別市助言630811A0439,シン航空写真(株),"63.07.22,63.09.30",,,
北海道,"木古内町,上磯町,",道路計画,撮影,20000,110.0KM2,函館開発建設部助言630815A0441,シン航空写真(株),"63.07.25,63.10.27",,,
