都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期
岐阜県,"揖斐川町,",その他,"基準点測量,基準点測量","２級,,３級","2point,1point","中部地方整備局木曽川上流河
川事務所 
助言　　　H27.12.14  E0255",中日本航空株式会社,"H27.12.1 
H28.2.26"
岐阜県,"岐南町,",固定資産,"数値撮影(デジタル),写真地図作成(デジタルオルソ)","12,,1000","7.91KM2,7.91KM2","岐阜県岐南町 
助言　　　H27.12.17  E0259",国際航業株式会社,"H27.12.11 
H28.3.18"
岐阜県,"笠原町,",土地区画整理,"基準点測量,基準点測量","３級,,４級","8point,52point","笠原町神戸・栄土地区画整理
組合 
助言　　　H28.1.6  E0284","大同コンサルタンツ株式
会社","H28.1.8 
H28.3.18"
岐阜県,"瑞穂市,",道路管理,修正測量,1000,6.1km,"岐阜県瑞穂市 
助言　　　H28.1.6  E0286",株式会社中測技研,"H27.11.24 
H28.3.20"
岐阜県,"恵那市,",土地区画整理,"基準点測量,基準点測量","２級,,４級","3point,41point","恵那市正家第二土地区画整理
事業設立準備委員会 
助言　　　H28.1.6  E0290","株式会社地域コンサルタ
ント","H28.1.15 
H28.2.29"
岐阜県,"岐阜市,関市,各務原市,",砂防計画,航空レーザ測量,1000,100KM2,"岐阜県岐阜土木事務所 
助言　　　H28.1.13  E0298",株式会社パスコ,"H28.1.4 
H28.3.20"
岐阜県,"恵那市,",都市計画,数値図化,2500,8.091KM2,"岐阜県恵那市 
助言　　　H28.1.13  E0299",アジア航測株式会社,"H27.12.14 
H28.3.25"
岐阜県,"揖斐川町,養老町,本巣市,山県市,",砂防計画,数値図化,2500,13KM2,"岐阜県岐阜土木事務所 
助言　　　H28.1.22  E0310",アジア航測株式会社,"H27.11.5 
H28.2.17"
岐阜県,"郡上市,",砂防計画,数値図化,2500,6.3KM2,"岐阜県郡上土木事務所 
助言　　　H28.1.27  E0313",株式会社パスコ,"H27.12.25 
H28.3.20"
岐阜県,"御嵩町,東白川村,白川町,八百津町,七宗町,川辺町,富加町,坂祝町,可児市,美濃加茂市,",砂防計画,数値図化,2500,44.6KM2,"岐阜県可茂土木事務所 
助言　　　H28.1.29  E0315",株式会社テイコク,"H27.12.25 
H28.3.18"
岐阜県,"高山市,飛騨市,下呂市,白川村,",砂防計画,数値図化,2500,15.8KM2,"岐阜県高山土木事務所 
助言　　　H28.2.5  E0322",株式会社パスコ,"H28.1.18 
H28.3.18"
岐阜県,"瑞浪市,",道路管理,"MMS計測,数値図化","500,,500","0.28km,0.28km","岐阜県瑞浪市 
助言　　　H28.2.5  E0324",株式会社テイコク,"H28.1.29 
H28.2.29"
